kissesback|Matthew Koma|Kisses Back|kissesback.mp3
raptorbadger|Revolr x Iggy Azalia|Raptor Badger|raptorbadger.mp3
always|Panama|Always (Wave Racer Remix)|always.mp3
thehills|The Weeknd|The Hills|thehills.mp3
savage|Whethan|Savage (feat. Flux Pavilion & MAX)|savage.mp3
